created_at,text
Sat Sep 01 23:58:23 +0000 2018,Modi's Ayushman Bharat is born through caesarean section - The Economic Times https://t.co/C5AVl0RSbi
Sat Sep 01 23:56:53 +0000 2018,RT @centerofright: First claim made on #AyushmanBharat - Great start to #ModiCare ⁦@narendramodi⁩ - Fittingly - it was on birth of a Girl C…
Sat Sep 01 23:54:54 +0000 2018,RT @drdineshias: First claim raised under #AyushmanBharat. A baby girl is born through caesarean section at Kalpana Chawla Hospital in Hary…
Sat Sep 01 23:53:54 +0000 2018,RT @centerofright: First claim made on #AyushmanBharat - Great start to #ModiCare ⁦@narendramodi⁩ - Fittingly - it was on birth of a Girl C…
Sat Sep 01 23:52:37 +0000 2018,RT @centerofright: First claim made on #AyushmanBharat - Great start to #ModiCare ⁦@narendramodi⁩ - Fittingly - it was on birth of a Girl C…
Sat Sep 01 23:48:16 +0000 2018,First claim raised under Ayushman Bharat with birth of girl in Haryana https://t.co/m4ixLviUEC https://t.co/ZEzaqTyAkU
Sat Sep 01 23:44:36 +0000 2018,RT @SureshNakhua: #ModiCare aka Ayushman Bharat is born through caesarean section - The Economic Times https://t.co/3NOznKQGlP
Sat Sep 01 23:44:14 +0000 2018,RT @centerofright: First claim made on #AyushmanBharat - Great start to #ModiCare ⁦@narendramodi⁩ - Fittingly - it was on birth of a Girl C…
Sat Sep 01 23:42:51 +0000 2018,RT @drdineshias: First claim raised under #AyushmanBharat. A baby girl is born through caesarean section at Kalpana Chawla Hospital in Hary…
Sat Sep 01 23:36:07 +0000 2018,AAP puts Ayushman Bharat for Delhi in jeopardy over demand to add party name to scheme - https://t.co/nWWXUEziXk
Sat Sep 01 23:33:02 +0000 2018,RT @centerofright: First claim made on #AyushmanBharat - Great start to #ModiCare ⁦@narendramodi⁩ - Fittingly - it was on birth of a Girl C…
Sat Sep 01 23:30:42 +0000 2018,RT @centerofright: First claim made on #AyushmanBharat - Great start to #ModiCare ⁦@narendramodi⁩ - Fittingly - it was on birth of a Girl C…
