Week Number,word1,Value1,word2,Value2,words3,Value3,word4,Value4,word5,Value5
1,girl,1870,ayushman,1772,claim,1675,bharat,1557,bear,1182
2,ayushman,2720,bharat,2634,care,716,medical,687,worth,683
3,ayushman,3790,bharat,3725,modi,1610,scheme,1408,healthcare,1259
4,ayushman,2502,bharat,2330,scheme,1244,indians,758,healthcare,642
5,ayushman,2339,bharat,2276,modi,1488,journal,1334,healthcare,1311
6,ayushman,3268,bharat,3245,pmjay,1263,see,1259,month,1255
7,ayushman,2099,bharat,2060,crore,936,healthcare,885,great,879
8,ayushman,4290,bharat,4271,scheme,1589,launch,1186,benefit,824
9,bharat,3029,ayushman,2670,dawai,1514,scheme,1510,ndtv,1215
10,ayushman,3945,bharat,2614,scheme,854,enthusiasm,842,section,841
