Topic,Values
0,say,health,world,healthcare,modi,child,little,government,organisation,flagship
1,kejriwal,bharat,delhi,arvind,name,want,oblige,udaan,scheme,gandhi
2,prioritise,indians,british,universal,narendra,prime,minister,journal,say,lancet
3,rural,importance,grasp,natur,wellness,electrification,roads,cook,foodgrain,awas
4,namo,thumb,official,get,impressed,say,scheme,bharat,odisha,modi
5,like,mohalla,clinics,attention,moon,earn,deserve,brundt,harlem,idea
6,journal,lancet,healthcare,prestigious,medical,criticize,mega,praise,world,modi
7,prestigious,medical,mega,criticize,journal,praise,world,lancet,healthcare,scheme
8,ayushmanbharat,caesarean,section,raise,hary,bear,kalpana,chawla,baby,hospital
9,girl,start,birth,fittingly,modicare,newborn,yojana,great,claim,india
