Topic,Values
0,scheme,health,ministry,insurance,money,modi,ask,yojana,finance,mega
1,ayushmanbharat,namo,health,scheme,india,modi,wheeler,prime,politics,launch
2,scheme,discussion,family,today,ineligible,make,poor,minister,earn,month
3,healthcare,cost,model,develop,world,systems,part,treatment,treat,crore
4,medical,care,patients,worth,free,help,days,data,receive,crores
5,crore,claim,worth,beneficiary,approve,admissions,brill,weeks,yojana,launch
6,indians,scheme,data,govt,accord,benefit,crore,mean,eligible,phone
7,plus,toilets,approve,yojana,minister,scheme,modi,india,launch,measure
8,people,yojana,watch,time,fund,poor,scheme,treatment,arogya,second
9,health,programme,govt,modi,need,launch,insurance,initially,bankrupt,pradhan
