Topic,Values
0,indians,crore,accord,mean,benefit,govt,data,scheme,treat,save
1,ministry,scheme,money,finance,health,ask,mega,run,insurance,delhi
2,days,worth,crores,help,official,receive,average,patients,care,free
3,scheme,ayushmanbharat,minister,toilets,urban,rural,politics,development,prime,newindia
4,indians,govt,need,initially,bankrupt,programme,modi,launch,health,insurance
5,scheme,ayushmanbharat,healthcare,health,ministry,eligible,namo,anyone,landline,phone
6,yojana,weeks,beneficiary,admissions,plus,approve,brill,claim,worth,pradhan
7,healthcare,develop,systems,part,model,world,cost,ayushmanbharat,yojna,health
8,healthcare,model,world,scheme,cost,india,say,largest,best,fund
9,ayushmanbharat,namo,wheeler,scheme,health,make,want,ineligible,read,own
