Topic,Values
0,state,centre,cent,family,provide,estimate,medical,cost,central,people
1,crore,healthcare,people,service,cover,provide,private,programme,cent,year
2,pmjay,hwcs,care,आयषम,असपत,integration,provide,people,create,नमतर
3,state,karnataka,crore,year,public,private,yeshasvini,central,insurance,fund
4,आयषम,असपत,crore,सथयसव,provide,कषतर,healthcare,news,people,year
5,healthcare,आयषम,state,insurance,come,cover,people,year,india,lakh
6,people,growth,primary,india,healthcare,need,demonetisation,book,wrong,bank
7,state,insurance,centre,claim,west,bengal,pmjay,letter,merge,national
8,percent,crore,allocation,budget,india,increase,healthcare,national,goyal,care
9,healthcare,nathealth,people,treatment,ministry,centre,private,collaboration,quality,care
