Topic,Values
1,healthcare,nathealth,quality,private,provide,collaboration,state,package,treatment,hospitals
2,pmjay,hwcs,healthcare,integration,field,patients,beneficiaries,crore,create,women
3,centre,service,wellness,electric,hwcs,include,software,partner,company,policy
4,centre,state,crore,service,wellness,hwcs,primary,hospitals,beneficiary,provide
5,healthcare,sector,primary,increase,amartya,modi,need,centre,opportunities,ministry
6,healthcare,help,year,primary,growth,state,level,crore,hospitalisation,provide
7,crore,provide,allocation,year,budget,fund,percent,goyal,healthcare,minister
8,centre,minister,industry,state,national,medical,continue,protection,quality,pradesh
9,state,karnataka,insurance,crore,fund,central,year,cent,private,yeshasvini
10,provide,healthcare,service,state,minister,crore,centre,private,cover,cent
