Topic,Values
1,state,ministry,amartya,pradesh,screen,primary,estimate,growth,party,million
2,state,startups,karnataka,women,field,centre,facilities,wellness,yeshasvini,healthcare
3,integration,hwcs,yogi,pmjay,facilities,telemedicine,movement,minister,centre,better
4,state,percent,allocation,drop,merge,institutions,country,medical,goyal,claim
5,distress,fund,provide,crore,billion,finance,week,half,holistic,privilege
6,nathealth,inconvenience,apologize,activity,behavior,things,site,partner,drivers,collaboration
7,hwcs,define,centre,service,cashless,wellness,state,package,transaction,dusseldorf
8,letter,continue,state,industry,west,bengal,bhushan,pull,crore,supply
9,electric,software,partner,products,wheeler,fssai,vehicles,tesla,company,uber
10,identify,urban,company,qualify,walmart,employee,definitely,amazon,jungles,flipkart
