Topic,Values
0,beneficiaries,hospitals,treatment,team,today,india,soon,railway,anil,month
1,ayushmanbharat,namo,source,people,check,die,investigate,journalist,newslaundry,government
2,mein,hospitals,scheme,govt,free,hoga,question,hota,pehle,alag
3,healthcare,ayushmanbharat,step,pmjay,major,universal,provision,organise,components,complete
4,scheme,month,benefit,lakh,healthcare,ayushmanbharat,people,ambitious,pmjay,see
5,scheme,benefit,lacs,see,comment,wait,tragedy,liberandu,initiative,pradhan
6,say,government,india,medical,address,prasad,convocation,rajendra,college,presidentkovind
7,pmjay,month,see,unparalleled,enthusiasm,ask,karyakarta,ghazipur,modi,crore
8,want,talk,ujjwala,modi,consider,important,record,beti,track,dhan
9,people,benefit,yojana,coverage,provide,crore,country,medical,scheme,health
