Topic,Values
0,state,karnataka,असपत,crore,yeshasvini,provide,goyal,fund,allocate,budget
1,आयषम,nathealth,collaboration,quality,शकरव,तमबदध,आवदन,लखनऊ,सपरक,industry
2,apologize,site,inconvenience,activity,things,behavior,note,कलकटर,असपत,think
3,amartya,state,growth,book,primary,wrong,better,demonetisation,magic,bank
4,आयषम,असपत,नमतर,percent,उललखन,नरदर,allocation,शरआत,news,लकषय
5,आयषम,रयकरम,ministry,cookie,screen,privacy,hwcs,लकषय,pradesh,website
6,आयषम,state,फरवर,ऑपरशन,पसमकर,यरकटर,रयकरम,estimate,cent,party
7,state,women,field,startups,stem,biospectrum,gender,healthcare,असपत,nathealth
8,सथयसव,hwcs,state,integration,letter,कषतर,pmjay,आयषम,reconsider,healthcare
9,identify,असपत,आयषम,company,urban,fund,reach,like,uber,qualify
