Topic,Values
0,ayushman,bharat,beneficiary,haryana,india,yojana,newborn,namo,baby,bear
1,bear,beneficiary,karishma,haryana,karnal,baby,govt,hospital,august,kalpana
2,ayushman,bharat,karishma,baby,haryana,scheme,beneficiary,karnal,claim,arrive
3,ayushmanbharat,modicare,start,birth,claim,fittingly,great,benefit,scheme,identification
4,modi,typical,overnight,plan,promise,ayushma,revolution,idea,impossible,target
5,namo,ayushman,bharat,beneficiary,india,haryana,review,yojana,newborn,relate
6,bear,hospital,chawla,kalpana,ayushman,bharat,scheme,delhi,demand,jeopardy
7,hospital,bear,ayushman,bharat,section,claim,caesarean,ayushmanbharat,baby,kalpana
8,claim,ayushman,bharat,modicare,birth,ayushmanbharat,start,great,fittingly,haryana
9,ayushmanbharat,claim,hospital,bear,baby,caesarean,section,raise,chawla,kalpana
