Topic,Values
0,fittingly,great,birth,start,modicare,claim,ayushmanbharat,baby,beneficiary,haryana
1,karishma,karnal,beneficiary,india,ayushmanbharat,yojna,pradhan,mantri,baby,scheme
2,delhi,demand,bharat,put,party,jeopardy,ayushman,health,review,today
3,namo,india,beneficiary,newborn,yojana,haryana,bear,karnal,ayushmanbharat,chawla
4,namo,tomorrow,balrampur,inaugurate,pilot,yojana,bharat,hospital,ayushman,newborn
5,newborn,india,bharat,yojana,ayushman,namo,haryana,beneficiary,modi,modicare
6,days,govt,august,bear,karnal,haryana,karishma,beneficiary,chawla,kalpana
7,hary,raise,caesarean,section,kalpana,chawla,baby,bear,hospital,claim
8,scheme,congrats,arrive,proud,govt,karnal,bharat,health,ayushman,karishma
9,great,fittingly,birth,modicare,start,ayushmanbharat,claim,bear,caesarean,baby
